Issue Id,Summary,Issue Type,Description,Priority,Labels,Story Points,Phase,Depends On
DIF-01A,Infraestructura de comparación de bytes de patch (raw diff),Story,"Implementar una infraestructura C++ que compare dos patches a nivel de bytes desempaquetados, detectando offsets distintos y clasificando los cambios por región lógica (VCF, HPF, OSC, FX, etc.). La función debe devolver un reporte estructurado (PatchDiffReport) que pueda ser consumido por la UI nativa del Calibration Lab.",High,"calibration,phase2,diff",5,2,
DIF-01B,Comparación semántica de parámetros de patch (semantic diff),Story,"Extender la infraestructura de diff para trabajar a nivel semántico, interpretando cada byte según su tipo (value, bipolar, enum, toggle, dual, ascii) antes de compararlo. Clasifica cada diferencia como exact, semantic-only, alias-shared o unknown-contract.",High,"calibration,phase2,diff",8,2,DIF-01A
DIF-01C,Manejo de offsets compartidos y aliases en Patch Diff,Story,"Extender el motor de diff para reconocer offsets compartidos y alias conocidos ( voicedrift vs oscdrift, arpgatetime vs arpgate, etc.), de modo que no se produzcan falsos positivos ni duplicados en el reporte.",Medium,"calibration,phase2,diff",5,2,DIF-01B
DIF-01D,Vista nativa de Patch Diff en Calibration Lab,Story,"Crear una tabla nativa JUCE (PatchDiffTableModel) que muestre los resultados del diff de patch con columnas: Offset, Región, Tipo, Raw A, Raw B, Semantic A, Semantic B, Estado/Clasificación.",Medium,"webui,phase2,diff",5,2,"DIF-01A,DIF-01B,DIF-01C"
VAL-01A,Pipeline de round-trip de bytes de patch,Story,"Implementar un pipeline de round-trip que convierta un patch desde bytes raw desempaquetados a representación semántica y de vuelta a bytes, produciendo un reporte detallado de las diferencias por offset. Debe ser explícito por etapas.",High,"calibration,phase2,val",8,2,
VAL-01B,Configuración de tolerancias por offset en Round-trip Validator,Story,"Introducir una whitelist de tolerancias por offset para parámetros donde ±1 raw o pequeñas diferencias sean aceptables (por ejemplo, parámetros bipolares, enums o campos ASCII).",Medium,"calibration,phase2,val",5,2,VAL-01A
VAL-01C,Política de round-trip para bytes de nombre de patch y cola,Story,"Definir y aplicar una política clara para los bytes de nombre de patch (224..238) y los bytes finales (239..241), asegurando que el round-trip no introduce corrupción ni pérdidas indeseadas.",Medium,"calibration,phase2,val",5,2,VAL-01A
VAL-01D,Panel de Round-trip Validator en UI nativa,Story,"Añadir un panel dedicado en el Calibration Lab que ejecute el validator de round-trip sobre el patch actual y muestre un resumen y una tabla con divergencias por offset.",Medium,"webui,phase2,val",5,2,"VAL-01A,VAL-01B"
VAL-02A,Mapeo de offsets de patch a campos de snapshot DSP (VCF/HPF/Drift),Story,"Crear un mapeo entre offsets de patch clave (VCF Cutoff, HPF Cutoff, VCF Resonance, VCF Env Depth, Voice Drift, Param Drift, Drift Rate) y los campos equivalentes en los snapshots del engine/voz.",High,"calibration,phase2,val",8,2,
VAL-02B,Motor de comparación Patch vs Snapshot por voz,Story,"Implementar una función validatePatchAgainstSnapshot(patch, snapshot, voiceIndex) que compare valores clave entre el patch y el snapshot por voz, distinguiendo entre coincidencias de base, de effective y derived.",High,"calibration,phase2,val",8,2,VAL-02A
VAL-02C,Panel de validación Patch vs Engine en Calibration Lab,Story,"Extender el Calibration Lab con un modo de validación “Patch vs Engine” que muestre los valores del patch, el valor base del DSP y el valor efectivo de la voz seleccionada.",Medium,"webui,phase2,val",5,2,VAL-02B
VAL-02D,Suite de tests para validar consistencia Patch vs Engine,Story,"Añadir tests de unidad/integración que verifiquen que, para escenarios simples y con modulación activa, el validador Patch vs Engine se comporta como se espera.",Medium,"tests,phase2,val",5,2,VAL-02B
